,palavras,rank_global_peso
0,SERAO,1
1,TERAO,2
2,LERAO,3
3,VERAO,4
4,MEIAO,5
5,CORAS,6
6,SENAO,7
7,CERAS,8
8,MORAS,9
9,ROIAS,10
10,TESAO,11
11,SECAO,12
12,TORAS,13
13,MERAS,14
14,PORAS,15
15,LESAO,16
16,TERAS,17
17,PAREO,18
18,FORAS,19
19,MELAO,20
20,PERAS,21
21,GORAS,22
22,LERAS,23
23,CEIAS,24
24,MOIAS,25
25,NORAS,26
26,TELAO,27
27,ROSEA,28
28,FERAS,29
29,DERAS,30
30,VERAS,31
31,HORAS,32
32,PIRAO,33
33,GERAS,34
34,MEIAS,35
35,TEIAS,36
36,DIRAO,37
37,VIRAO,38
38,ZERAS,39
39,HERAS,40
40,DOIAS,41
41,BOIAS,42
42,DEMAO,43
43,GOIAS,44
44,LEIAS,45
45,ROLAS,46
46,ROTAS,47
47,FEIAS,48
48,ROTEA,49
49,ROMAS,50
50,ROCAS,51
51,VEIAS,52
52,JOIAS,53
53,GEIAS,54
54,RENAS,55
55,COLAS,56
56,CISAO,57
57,RETAS,58
58,NEGAO,59
59,COTAS,60
60,REMAS,61
61,RODAS,62
62,COMAS,63
63,RODEA,64
64,MARES,65
65,CORAI,66
66,ROGAS,67
67,RAIES,68
68,CELAS,69
69,MOLAS,70
70,CENAS,71
71,ROXAS,72
72,TOLAS,73
73,MOCAS,74
74,SIMAO,75
75,MORAI,76
76,REGAS,77
77,PARES,78
78,CODEA,79
79,EIRAS,80
80,LARES,81
81,CAIES,82
82,MELAS,83
83,SERIA,84
84,COPAS,85
85,MIRAS,86
86,COVAS,87
87,TOMAS,88
88,TOCAS,89
89,LONAS,90
90,METAS,91
91,FURAO,92
92,REZAS,93
93,REJAS,94
94,DARES,95
95,TELAS,96
96,VARES,97
97,MECAS,98
98,LOTAS,99
99,COZAS,100
100,CEDAS,101
101,MODAS,102
102,COXAS,103
103,POCAS,104
104,TIRAS,105
105,LOTEA,106
106,BARES,107
107,LOCAS,108
108,CEGAS,109
109,LEOAS,110
110,DONAS,111
111,VISAO,112
112,PELAS,113
113,BOLAS,114
114,PENAS,115
115,BISAO,116
116,MOVAS,117
117,TEMAS,118
118,GOLAS,119
119,TECAS,120
120,TODAS,121
121,DOTAS,122
122,GOLEA,123
123,CORAM,124
124,VOTAS,125
125,FOCAS,126
126,LIRAS,127
127,MOFAS,128
128,TOGAS,129
129,MARIO,130
130,SIFAO,131
131,BOTAS,132
132,DOMAS,133
133,DOCAS,134
134,GOTAS,135
135,TOPAS,136
136,PECAS,137
137,BOCAS,138
138,NOTAS,139
139,PODAS,140
140,GOMAS,141
141,LEMAS,142
142,DELAS,143
143,FIRAS,144
144,GORAI,145
145,VELAS,146
146,DIRAS,147
147,ZONAS,148
148,BELAS,149
149,NOMEA,150
150,PILAO,151
151,VIRAS,152
152,PORIA,153
153,GELAS,154
154,TIMAO,155
155,TICAO,156
156,NELAS,157
157,GIRAS,158
158,VETAS,159
159,ROIAM,160
160,LOBAS,161
161,TERIA,162
162,MEXAS,163
163,BECAS,164
164,PICAO,165
165,FILAO,166
166,NETAS,167
167,BODAS,168
168,GEMAS,169
169,SORTA,170
170,VAIES,171
171,LIMAO,172
172,LICAO,173
173,LOJAS,174
174,GERAI,175
175,PEGAS,176
176,VILAO,177
177,DOPAS,178
178,ZELAS,179
179,LEGAS,180
180,RALES,181
181,LERIA,182
182,AUREO,183
183,LEVAS,184
184,FEDAS,185
185,VARIO,186
186,CURAS,187
187,NOVAS,188
188,BARIO,189
189,CAROS,190
190,JECAS,191
191,VEDAS,192
192,ZERAI,193
193,FERIA,194
194,CORTA,195
195,JOGAS,196
196,BOXEA,197
197,GOZAS,198
198,VERIA,199
199,DEVAS,200
200,FORAM,201
201,SAREI,202
202,NEGAS,203
203,GERIA,204
204,ROLAI,205
205,CRIAS,206
206,CALES,207
207,SOLAI,208
208,REMOA,209
209,NEVAS,210
210,MURAS,211
211,GORAM,212
212,LERAM,213
213,CEIAM,214
214,RUIAS,215
215,VEJAS,216
216,VEXAS,217
217,RAIOS,218
218,CATES,219
219,COSIA,220
220,CERTA,221
221,MORTA,222
222,CAIRO,223
223,AIRES,224
224,ROCAI,225
225,LIXAO,226
226,TOSAI,227
227,SOMAI,228
228,SOCAI,229
229,SUDAO,230
230,CORAL,231
231,FUSAO,232
232,SORVA,233
233,DERAM,234
234,RIMAS,235
